회사명,공고제목,직무분야,경력,학력,근무지,고용형태,마감일,수정일,공고URL
㈜에프앤가이드,[에프앤가이드] IS팀 검색엔진(ElasticSearch) 및 정보보안 담당자 채용,"BigData, 검색엔진, 정보보안, 소프트웨어개발, Elastic stack",경력2년↑,대졸↑,서울 강서구,정규직,01/31(금),50분 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46214416?rPageCode=SL&logpath=21&sn=6
㈜경포씨엔씨,[국회의사당역]한국산업은행 국외점포/인프라-TA,"SI, 아키텍처",경력9년↑,학력무관,서울 영등포구,프리랜서,02/16(일),점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/46131816?rPageCode=SL&logpath=21&sn=6
LX인터내셔널,2025년 신입사원 상시 채용 (인재 Pool) - HR,"해외영업, 내부회계, 비품관리, 사업개발, 신사업기획, 자금관리, 시스템운영, 자산관리, 재무회계, 사업기획, 면접·채용, 평가·보상, 전략기획, 세무회계, IR, 외환관리, HR, 조직문화, 경영기획",신입,서울 종로구,인턴,,상시채용,51분 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46214411?rPageCode=SL&logpath=21&sn=6
㈜산하정보기술,[야놀자계열사] 산하정보기술 R&D유닛 WINGS 개발팀 채용,"서버관리, 호텔",경력무관,학력무관,서울 금천구,정규직,01/09(목),51분 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46081613?rPageCode=SL&logpath=21&sn=6
LX인터내셔널,2025년 신입사원 상시 채용 (인재 Pool) - 재경/기획,"해외영업, 내부회계, 비품관리, 사업개발, 신사업기획, 자금관리, 시스템운영, 자산관리, 재무회계, 사업기획, 면접·채용, 평가·보상, 전략기획, 세무회계, IR, 외환관리, HR, 조직문화, 경영기획",신입,서울 종로구,인턴,,상시채용,52분 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46214403?rPageCode=SL&logpath=21&sn=6
LX인터내셔널,2025년 신입사원 상시 채용 (인재 Pool) - 사업개발,"해외영업, 내부회계, 비품관리, 사업개발, 신사업기획, 자금관리, 시스템운영, 자산관리, 재무회계, 사업기획, 면접·채용, 평가·보상, 전략기획, 세무회계, IR, 외환관리, HR, 조직문화, 경영기획",신입,서울 종로구,인턴,,상시채용,53분 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46214391?rPageCode=SL&logpath=21&sn=6
위쉬정보기술㈜,송내역 안전보건공단 운영 ETL 및 DBA,"SM, SI, ERP",경력무관,학력무관,서울 구로구,정규직                 외,02/02(일),54분 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46214382?rPageCode=SL&logpath=21&sn=6
㈜에스엠피엠씨,[신세계그룹 관계사] 부문별 경력 채용,"건설안전, 고객관리, 메카트로닉스, 시공관리, 전산입력, 가스점검, 복리후생, 안전평가, 거래처관리, 분양대행, 복리후생, 행정, 건축설계, 리모델링, 유지보수, 엘리베이터, 분양상담, 자료조사, 자산운용, 비품관리, 투자상담·자문, 분양상담, 송무담당, 가맹점관리, 공조냉동, 자산관리사, 소방·방재, 데이터시각화, 브랜드기획, 신사업기획, 시설점검, 건축설계, 경매입찰, 부동산컨설팅, 부동산투자, 산업안전, 자산관리, 통신설비, 펀드회계, 대리점관리, BI, 구매계약, 임대보증금, 부동산개발, 사업기획, 자산관리, 전기점검, 거래선개발관리, 건축CM, 문서작성, 안전진단, 건설안전, 산업안전, 전기설비, 데이터분석, 면접·채용, 평가·보상, 전략기획, 임차인 관리, 임대·임대컨설팅, 자재구매, PM, 분석모델링, 수수료정산, 시설점검, 대형오피스, 급여관리, 매입·매각, 부동산컨설팅, 전기배선, 정보통신, 배관·케이블, 서무, 안전평가, 인사행정, 문서관리, 인사기획, 자산관리, 자산운용, 재무기획, 주택관리사, 건설노무, 재무분석, 조직문화, 경영기획, 교육기획, 문서관리, 부동산개발, 기계조작, 서무, 인사교육, 건축감리, 건축시공, 리모델링, 시공관리, 통신설비, 행정, FM, 임대정산",경력3년↑,학력무관,서울 강남구 외,정규직,01/07(화),점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/46193552?rPageCode=SL&logpath=21&sn=6
딥브레인 AI,"[딥브레인 AI] 백엔드(Back-End) 개발자 채용 (경력, 병특)","솔루션, 서버관리, AWS, NODE.JS, 소프트웨어개발, Next.js",경력5년↑,학력무관,서울 강남구,정규직,상시채용,점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/46203233?rPageCode=SL&logpath=21&sn=6
㈜로아스,New LOASer 인재 모집 - 각 부문별 채용,"고객관리, 메카트로닉스, 문서작성, 디지털마케팅, 거래처관리, 기구설계, 제품개발, 프로모션, 영상제작, 자료조사, 영업기획, 키워드광고, 테스터, 문서작성, 이벤트, 전기·전자, 프로모션, 데이터분석, 영업전략, 기술영업, 오프라인마케팅, 제휴마케팅, SNS마케팅, 사업기획, 시스템분석, 장비영업, 거래선개발관리, 바이럴마케팅, 통계·분석, 매출관리, 시스템설계, 언론홍보, 전략기획, 데이터분석, 기업홍보, SNS마케팅, 연구기획, SNS마케팅, 제품개발, 프로모션, 연구·실험·기술, 경영기획, 매체관리, 콘텐츠기획, 검증, 경영기획, 지적재산권, 배너광고, 이벤트기획, 국내영업, 고객경험관리",신입·경력1년↑,학력무관,서울 송파구,정규직,01/17(금),점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/46195828?rPageCode=SL&logpath=21&sn=6
LX인터내셔널,2025년 신입사원 상시 채용 (인재 Pool) - 해외영업,"해외영업, 내부회계, 비품관리, 사업개발, 신사업기획, 자금관리, 시스템운영, 자산관리, 재무회계, 사업기획, 면접·채용, 평가·보상, 전략기획, 세무회계, IR, 외환관리, HR, 조직문화, 경영기획",신입,서울 종로구,인턴,,상시채용,54분 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46214377?rPageCode=SL&logpath=21&sn=6
㈜아이엔에스시스템,[여의도] 증권사 WTS 운영 업무 중급 개발자 모집 (2월투입),"SM, JavaScript, SI개발, SM, 시큐어코딩, Secure Coding, SI개발, Oracle, 모바일웹, WTS, 증권사, jsp, Java, 소프트웨어개발, 운영, SPRING, 개발",경력6년↑,학력무관,서울 영등포구,프리랜서,01/10(금),55분 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46214368?rPageCode=SL&logpath=21&sn=6
㈜에프앤가이드,에프앤가이드 AI팀 모집,"sLLM, 소프트웨어개발, BigData, 딥러닝, 자연어처리(NLP), 인공지능",신입,대졸↑,서울 강서구,정규직,02/02(일),58분 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46214313?rPageCode=SL&logpath=21&sn=6
큐렉소㈜,재활로봇 제어SW개발 담당연구원 모집 (전문연구요원 가능),"C++, 임피던스, 소프트웨어, 재활로봇, 시스템분석, 모션제어, 로보틱스, SW, C, 의료기기, 제어SW, 시스템설계, EtherCAT, RTOS, 제어공학",신입·경력3년↑,석사↑,서울 송파구,정규직                 외,02/02(일),58분 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46214320?rPageCode=SL&logpath=21&sn=6
씨제이올리브영(주),백엔드 개발자 (SCM/물류/발주),아키텍처,경력,서울 용산구,정규직,,02/02(일),59분 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46214308?rPageCode=SL&logpath=21&sn=6
㈜에프앤가이드,[에프앤가이드] 인덱스개발팀 정규직 채용,"BigData, 데이터관리, 소프트웨어개발",신입,대졸↑,서울 강서구,정규직,01/31(금),1시간 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46214265?rPageCode=SL&logpath=21&sn=6
주식회사 옴니버스 스튜디오,"구로동 프런트,백앤드,데이터베이스 풀스텍 앱개발자 경력직 정직원 채용","모바일앱개발, 소프트웨어개발, 서버관리, 클라이언트, 핀테크, HTTP, SI개발, GUI, 반응형웹, 인터페이스, 증강현실, 가상현실, 암호화폐, 음성인식, 인터페이스, 챗봇, 핀테크, SI개발, 메타버스, 시스템분석, 시스템설계, 정보보안, 아키텍처, 클라이언트, SI개발",경력2년↑,대졸↑,서울 구로구,정규직,01/29(수),점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/46188058?rPageCode=SL&logpath=21&sn=6
씨제이올리브영(주),백엔드 개발자 (풀필먼트/물류/WMS),아키텍처,경력,서울 용산구,정규직,,02/02(일),1시간 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46214197?rPageCode=SL&logpath=21&sn=6
㈜씨오엠 제로원,"[PC, 노트북 유지보수] 컴퓨터수리 엔지니어 모집","유지보수, 컴퓨터AS, A·S수리, 기술지원, 노트북AS, 시스템운영, 하드웨어, 컴퓨터수리, 서버구축, 설치, 네트워크관리, 컴퓨터, AS, 노트북수리, 유지보수, 유지보수",경력무관,학력무관,서울 용산구 외,정규직                 외,01/06(월),1시간 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46214195?rPageCode=SL&logpath=21&sn=6
바코재팬㈜(영업소),Program Management Associate(Google 프로젝트),아웃소싱,경력1년↑,대졸↑,서울 영등포구,정규직,02/02(일),1시간 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46214193?rPageCode=SL&logpath=21&sn=6
㈜유니디아,OA유지보수 상주 인력채용(강남),"A·S수리, 기술지원, 유지보수, 하드웨어, 컴퓨터, AS, 유지보수, 기술지원, 유지보수",경력1년↑,학력무관,서울 강남구,정규직,03/04(화),1시간 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46214150?rPageCode=SL&logpath=21&sn=6
㈜아이샵케어,"HR, 보안, 디자인, 마케팅, CS,   SCM, OB Sales 각 부문 채용","SCM, voc, VAN, 통신, 재무기획, 경영기획, HR컨설팅, 교육기획, 급여관리, 면접·채용, 광고기획, 광고PD, 브랜딩, 시장조사, PPL, 라이센싱, 브랜딩, 시장분석, 언론홍보, 카페·블로그관리, 키워드광고, SNS마케팅, 고객관리, 매출관리, 프로모션, 바이럴마케팅, 키워드광고, 프로모션, 디지털마케팅, 배너광고, 제휴마케팅, SNS마케팅, SEO, 언론홍보, 프로모션, BTL, 기업홍보, 이벤트기획, 리테일MD, 매출관리, 상품기획, 상품입출고, 식품MD, 재고관리, AMD, 카페·블로그관리, 프로모션, 매체관리, SNS마케팅, 네트워크관리, 방화벽, 보안관제, 정보보안, 시스템분석, 시스템설계, 정보보안, 디지털디자인, 전단지디자인, 정보디자인, CI, Sign디자인, 브랜드디자인, 디지털디자인, 전단지디자인, 정보디자인, 패키지디자인, 폰트디자인, POP, Sign디자인, 브랜드디자인, 상품입출고, 외자구매, 자재구매, 재고관리, 상품입출고, 가맹점관리, 거래선개발관리, 거래처관리, 고객관리, 매출관리, 영업기획, 고객지원, 금융상담, 접수·예약, 단순안내, 온라인상담, 전화상담, 회원관리, 전화상담, 텔레마케팅, CS교육, 콜통계분석, 고객문의분석, 상담품질관리, 고객경험관리, 통화품질분석, 기술지원, 설치, 유지보수, A·S수리",신입·경력,학력무관,서울 강남구 외,정규직                 외,01/12(일),점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/46154374?rPageCode=SL&logpath=21&sn=6
㈜유파트너스,"Spring Framework, Spring Boot 기반 웹시스템 개발 및 유지보수","모바일앱개발, GUI, SI개발, 솔루션, 인터페이스, 소프트웨어개발",경력3년↑,학력무관,서울 영등포구,정규직,02/01(토),점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/46204690?rPageCode=SL&logpath=21&sn=6
잡코리아(유),[잡코리아] Data Scientist (5년 이상),,경력5년↑,대졸↑,서울 서초구,정규직,모레마감,점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/46099393?rPageCode=SL&logpath=21&sn=6
㈜엘에스케이,"IT개발·데이터(Java, 머신러닝, JSP 외 2개 부문) 개발 및 관리자 모집","전기설계, 자동제어, 제어",경력1년↑,학력무관,서울 영등포구,정규직,상시채용,1시간 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46214119?rPageCode=SL&logpath=21&sn=6
㈜포토위젯,백엔드 개발자,아이폰,경력4년↑,학력무관,서울 강남구,정규직,03/04(화),1시간 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46214105?rPageCode=SL&logpath=21&sn=6
엑스솔콥코리아㈜,Frontend 및 Backend 개발자 채용,,경력8년↑,대졸↑,서울 강남구,정규직,01/14(화),1시간 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46125526?rPageCode=SL&logpath=21&sn=6
㈜마니테크,[계약직] 금융권 웹 개발자 경력자 모집,소프트웨어개발,경력6년↑,학력무관,서울 서초구,정규직                 외,02/02(일),1시간 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46214085?rPageCode=SL&logpath=21&sn=6
㈜씨디알아이,프론트엔드 개발자,"모바일앱개발, CSS3, 솔루션, HTML5, 인터페이스, 반응형웹, 프레임워크, 소프트웨어개발",경력3년↑,초대졸↑,서울 강남구,정규직,01/31(금),1시간 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46062837?rPageCode=SL&logpath=21&sn=6
샘표식품㈜,2025 샘표식품 각 부문 수시채용,"고객관리, 네트워크관리, 상품입출고, 창고관리, 빅데이터, 거래처관리, 제품개발, 상품입출고, 시장조사, 유지보수, 품질보증, SI개발, 생산관리, 영업기획, 재고관리, 품질보증, 검증, 물류센터, 해외마케팅, 데이터시각화, 건강식품, 시스템운영, PM, 서버관리, 영업전략, 화학·섬유, 설비, 시스템운영, 구매계약, 제조·공정, SI개발, 바이어개발, 서버구축, 시스템분석, 재고관리, 거래선개발관리, 네트워크관리, 매출관리, 매출관리, 상품기획, 시스템설계, 재고관리, 데이터분석, 콘텐츠기획, 자재구매, 데이터분석, 브랜드기획, 전략기획, 클라이언트, 서버구축, 식품가공, 외자구매, 자재구매, 연구·실험·기술, 외자구매, 서버관리, 네트워크관리, 환경관리, 시장분석, 데이터분석",신입·경력,학력무관,서울 중구 외,정규직,상시채용,점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/46172752?rPageCode=SL&logpath=21&sn=6
대한상공회의소,오라클 아카데미 바이오 데이터 전문가 트랙 모집,"네트워크관리, 서버구축, 시스템분석, 시스템설계, 시스템운영, 펌웨어, 서버관리, SI개발, 시스템분석, 시스템설계, 정보보안, 아키텍처, 클라이언트, SI개발, 모델링, 딥러닝, 자연어처리(NLP), 음성인식, 이미지프로세싱, 인공지능, 챗봇",경력무관,학력무관,서울 성동구,연수생/교육생,01/19(일),점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/46205984?rPageCode=SL&logpath=21&sn=6
㈜이크레더블,"이크레더블 DX 전략(DBA, IT기획) 및 개발 부문 경력사원 채용","OLAP개발자, PMO, DX, SQL, IT기획, 프로젝트, 데이터마이닝, postgresql, 데이터 웨어하우스, DX전략, Oracle, PM, 모델링, ETL, Java",경력5년↑,대졸↑,서울 구로구,정규직,02/02(일),점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/46204030?rPageCode=SL&logpath=21&sn=6
라라컴,인공지능 개발자 연구원 모집,"데이터관리, 데이터마이닝, 하드웨어, 증강현실, 컴퓨터, AS, 유지보수",경력1년↑,대졸↑,서울 용산구 외,정규직,01/06(월),1시간 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46214068?rPageCode=SL&logpath=21&sn=6
㈜코코아소프트,2025년 코코아소프트 RPA 개발인력 채용공고,"시스템분석, SI, SI개발, 시스템설계, 소프트웨어개발",신입·경력1년↑,초대졸↑,서울 강남구,정규직,02/02(일),1시간 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46214053?rPageCode=SL&logpath=21&sn=6
㈜세종교육,"[IT취업률100프로]무료 취준생모집(국내/일본, 수도권무료숙식 제공/비전공자 가능) 국비무료교육 취업준비","모바일앱개발, 중식, C++, GUI, 빅데이터, 웹표준·웹접근성, 증강현실, 펌웨어, 예약·발권, 인터페이스, Spring security, SI개발, 양식, 직업전문학교, 테스터, 펌웨어, 삽화·일러스트, 메타버스, 웹마스터, 보안소프트웨어, 시스템운영, 서버보안, 서버관리, 영상제작, 인공지능, 챗봇, Secure, 시스템운영, 정보보안, 정보통신·IT, AWS, SI개발, 서버구축, 시스템분석, 일식, 가상현실, 고객안내, 클라이언트, JAVA프로그래밍, SI개발, 네트워크관리, 공항지상직, 시큐어, 영상제작, 메타버스, 리눅스, 만화디자인, 모델링, 시스템설계, 증강현실, 펌웨어, 데이터분석, 인터페이스, Docker, 펌웨어, C, MMORPG, 애플리케이션, 애니메이션, 정보보안, PLC, 클라우드개발자, 로봇설계, 챗봇, 클라이언트, Frmework, 서버구축, 가상현실, 반응형웹, 프레임워크, HTTP, 고객응대, Java, 서버관리, 시큐어 코딩, 음성인식, 클라우드아키텍트, 핀테크, 검증, 네트워크관리, 한식, 핀테크, AI, RDBMS, 도커, 원화디자인, 정보보안",신입·경력,학력무관,서울 강남구 외,연수생/교육생,01/31(금),점프업,https://www.jobkorea.co.kr/Recruit/GI_Read/46095056?rPageCode=SL&logpath=21&sn=6
㈜슈카,"[신입&경력] PC, 노트북 엔지니어 모집","컴퓨터AS, 유지보수, 시스템운영, 통신설비, 하드웨어, 컴퓨터수리, SI개발, 서버구축, 모니터수리, 컴퓨터유지보수, 정보통신, 컴퓨터, AS, 노트북수리, 서버관리, 네트워크관리, 유지보수",경력무관,대졸↑,서울 용산구 외,정규직                 외,01/06(월),1시간 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46213988?rPageCode=SL&logpath=21&sn=6
㈜시큐와이즈,"네트워크 방화벽 엔지니어 모집(신입, 경력)","방화벽, 네트워크보안, 방화벽, VPN, 보안컨설팅, 정보보안",신입·경력2년↑,학력무관,서울 중랑구,정규직,02/02(일),1시간 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46213984?rPageCode=SL&logpath=21&sn=6
스콘에이아이㈜,"풀스택(vue.js, java) 개발자 계약직(정규직 전환) 채용","GUI, 모바일, 서버관리, 인터페이스, 반응형웹, 클라이언트, HTTP",경력무관,대졸↑,서울 마포구,계약직                 외,02/02(일),1시간 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46213980?rPageCode=SL&logpath=21&sn=6
㈜슈카,모바일앱 및 어플리케이션 소프트웨어 개발자 모집,"SI개발, 시스템분석, 시스템운영, 서버관리, 정보보안, 하드웨어, 서버구축, 시스템분석, 클라이언트, 시스템설계, 아키텍처, 시스템설계, 컴퓨터, AS, 클라이언트, 핀테크, 네트워크관리, HTTP, 유지보수",경력무관,대졸↑,서울 용산구 외,정규직,01/06(월),1시간 전 수정,https://www.jobkorea.co.kr/Recruit/GI_Read/46213974?rPageCode=SL&logpath=21&sn=6
